State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Tamil Nadu",Namakkal,"Paramathivelur(Uzhavar Sandhai )",Tomato,Local,Local,10/09/2026,2800,3300,3050
"Tamil Nadu",Madurai,"Anna nagar(Uzhavar Sandhai )",Tomato,Other,Local,10/09/2026,2800,2800,2800
"Tamil Nadu",Perambalur,"Perambalur(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,3000,3600,3300
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)",Tomato,Deshi,Local,10/09/2026,2500,2800,2650
"Tamil Nadu",Thirunelveli,"Melapalayam(Uzhavar Sandhai )",Tomato,Other,Local,10/09/2026,2600,2800,2700
"Tamil Nadu",Thiruvarur,"Muthupettai(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2600,2600,2600
"Tamil Nadu",Cuddalore,"Vadalur(Uzhavar Sandhai )",Tomato,Local,Local,10/09/2026,2500,2500,2500
"Tamil Nadu",Thanjavur,"Peravurani(Uzhavar Sandhai)",Tomato,Deshi,Local,10/09/2026,3200,3200,3200
"Tamil Nadu",Sivaganga,"Karaikudi(Uzhavar Sandhai )",Tomato,Local,Local,10/09/2026,2800,3000,2900
"Tamil Nadu",Thanjavur,"Thanjavur(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2800,2800,2800
"Tamil Nadu",Thiruchirappalli,"Manachanallur(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2800,2800,2800
"Tamil Nadu",Thiruchirappalli,"Manapparai(Uzhavar Sandhai )",Tomato,Other,Local,10/09/2026,2600,2600,2600
"Tamil Nadu",Thiruchirappalli,"Thiruverumbur(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2800,2800,2800
"Tamil Nadu",Cuddalore,"Viruthachalam(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,3000,3000,3000
"Tamil Nadu",Thiruvarur,"Tiruvarur(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2600,2600,2600
"Tamil Nadu",Villupuram,"Gingee(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2000,2000,2000
"Tamil Nadu",Thirupur,"Palladam(Uzhavar Sandhai )",Tomato,Local,Local,10/09/2026,2000,2400,2200
"Tamil Nadu",Coimbatore,"Vadavalli(Uzhavar Sandhai )",Tomato,Local,Local,10/09/2026,2500,2800,2650
"Tamil Nadu",Pudukkottai,"Ponnamaravathi(Uzhavar Sandhai)",Tomato,Deshi,Local,10/09/2026,2500,3000,2750
"Tamil Nadu",Nagapattinam,"Mayiladuthurai(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2500,3000,2750
"Tamil Nadu",Ramanathapuram,"Paramakudi(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,3000,3500,3250
"Tamil Nadu",Pudukkottai,"Alangudi(Uzhavar Sandhai )",Tomato,Other,Local,10/09/2026,2500,3000,2750
"Tamil Nadu","Nagercoil (Kannyiakumari)","Vadaseri APMC",Tomato,Deshi,Local,10/09/2026,3500,4000,3750
"Tamil Nadu",Thirupur,"Tiruppur (South) (Uzhavar Sandhai )",Tomato,Local,Local,10/09/2026,1500,2000,1750
"Tamil Nadu",Kancheepuram,"Kundrathur(Uzhavar Sandhai )",Tomato,Other,Local,10/09/2026,2500,2500,2500
"Tamil Nadu",Krishnagiri,"Hosur(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2000,2500,2250
"Tamil Nadu",Madurai,"Usilampatti(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2400,2600,2500
"Tamil Nadu",Nagapattinam,"Sirkali(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2500,3000,2750
"Tamil Nadu",Namakkal,"Rasipuram(Uzhavar Sandhai )",Tomato,Other,Local,10/09/2026,3200,3400,3300
